id,height,intensity_range:min,intensity_range:max,rt,charge,mz_range:min,mz_range:max,mz,area,rt_range:min,rt_range:max,datafile:PreIS__400_800_d161-r002.mzML:fwhm,datafile:PreIS__400_800_d161-r002.mzML:feature_state,datafile:PreIS__400_800_d161-r002.mzML:intensity_range:min,datafile:PreIS__400_800_d161-r002.mzML:intensity_range:max,datafile:PreIS__400_800_d161-r002.mzML:tailing_factor,datafile:PreIS__400_800_d161-r002.mzML:mz_range:min,datafile:PreIS__400_800_d161-r002.mzML:mz_range:max,datafile:PreIS__400_800_d161-r002.mzML:area,datafile:PreIS__400_800_d161-r002.mzML:rt_range:min,datafile:PreIS__400_800_d161-r002.mzML:rt_range:max,datafile:PreIS__400_800_d161-r002.mzML:asymmetry_factor,datafile:PreIS__400_800_d161-r002.mzML:height,datafile:PreIS__400_800_d161-r002.mzML:rt,datafile:PreIS__400_800_d161-r002.mzML:mz,datafile:PreIS__400_800_d161-r002.mzML:charge,datafile:PreIS__400_800_d161-r002.mzML:isotopes,datafile:PreIS__1100_1500_d161-r001.mzML:fwhm,datafile:PreIS__1100_1500_d161-r001.mzML:feature_state,datafile:PreIS__1100_1500_d161-r001.mzML:intensity_range:min,datafile:PreIS__1100_1500_d161-r001.mzML:intensity_range:max,datafile:PreIS__1100_1500_d161-r001.mzML:tailing_factor,datafile:PreIS__1100_1500_d161-r001.mzML:mz_range:min,datafile:PreIS__1100_1500_d161-r001.mzML:mz_range:max,datafile:PreIS__1100_1500_d161-r001.mzML:area,datafile:PreIS__1100_1500_d161-r001.mzML:rt_range:min,datafile:PreIS__1100_1500_d161-r001.mzML:rt_range:max,datafile:PreIS__1100_1500_d161-r001.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d161-r001.mzML:height,datafile:PreIS__1100_1500_d161-r001.mzML:rt,datafile:PreIS__1100_1500_d161-r001.mzML:mz,datafile:PreIS__1100_1500_d161-r001.mzML:charge,datafile:PreIS__1100_1500_d161-r001.mzML:isotopes,datafile:PreIS__750_1150_d161-r001.mzML:fwhm,datafile:PreIS__750_1150_d161-r001.mzML:feature_state,datafile:PreIS__750_1150_d161-r001.mzML:intensity_range:min,datafile:PreIS__750_1150_d161-r001.mzML:intensity_range:max,datafile:PreIS__750_1150_d161-r001.mzML:tailing_factor,datafile:PreIS__750_1150_d161-r001.mzML:mz_range:min,datafile:PreIS__750_1150_d161-r001.mzML:mz_range:max,datafile:PreIS__750_1150_d161-r001.mzML:area,datafile:PreIS__750_1150_d161-r001.mzML:rt_range:min,datafile:PreIS__750_1150_d161-r001.mzML:rt_range:max,datafile:PreIS__750_1150_d161-r001.mzML:asymmetry_factor,datafile:PreIS__750_1150_d161-r001.mzML:height,datafile:PreIS__750_1150_d161-r001.mzML:rt,datafile:PreIS__750_1150_d161-r001.mzML:mz,datafile:PreIS__750_1150_d161-r001.mzML:charge,datafile:PreIS__750_1150_d161-r001.mzML:isotopes,datafile:PreIS__750_1150_d161-r002.mzML:fwhm,datafile:PreIS__750_1150_d161-r002.mzML:feature_state,datafile:PreIS__750_1150_d161-r002.mzML:intensity_range:min,datafile:PreIS__750_1150_d161-r002.mzML:intensity_range:max,datafile:PreIS__750_1150_d161-r002.mzML:tailing_factor,datafile:PreIS__750_1150_d161-r002.mzML:mz_range:min,datafile:PreIS__750_1150_d161-r002.mzML:mz_range:max,datafile:PreIS__750_1150_d161-r002.mzML:area,datafile:PreIS__750_1150_d161-r002.mzML:rt_range:min,datafile:PreIS__750_1150_d161-r002.mzML:rt_range:max,datafile:PreIS__750_1150_d161-r002.mzML:asymmetry_factor,datafile:PreIS__750_1150_d161-r002.mzML:height,datafile:PreIS__750_1150_d161-r002.mzML:rt,datafile:PreIS__750_1150_d161-r002.mzML:mz,datafile:PreIS__750_1150_d161-r002.mzML:charge,datafile:PreIS__750_1150_d161-r002.mzML:isotopes,datafile:PreIS__1100_1500_d161-r002.mzML:fwhm,datafile:PreIS__1100_1500_d161-r002.mzML:feature_state,datafile:PreIS__1100_1500_d161-r002.mzML:intensity_range:min,datafile:PreIS__1100_1500_d161-r002.mzML:intensity_range:max,datafile:PreIS__1100_1500_d161-r002.mzML:tailing_factor,datafile:PreIS__1100_1500_d161-r002.mzML:mz_range:min,datafile:PreIS__1100_1500_d161-r002.mzML:mz_range:max,datafile:PreIS__1100_1500_d161-r002.mzML:area,datafile:PreIS__1100_1500_d161-r002.mzML:rt_range:min,datafile:PreIS__1100_1500_d161-r002.mzML:rt_range:max,datafile:PreIS__1100_1500_d161-r002.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d161-r002.mzML:height,datafile:PreIS__1100_1500_d161-r002.mzML:rt,datafile:PreIS__1100_1500_d161-r002.mzML:mz,datafile:PreIS__1100_1500_d161-r002.mzML:charge,datafile:PreIS__1100_1500_d161-r002.mzML:isotopes,datafile:PreIS__400_800_d161-r001.mzML:fwhm,datafile:PreIS__400_800_d161-r001.mzML:feature_state,datafile:PreIS__400_800_d161-r001.mzML:intensity_range:min,datafile:PreIS__400_800_d161-r001.mzML:intensity_range:max,datafile:PreIS__400_800_d161-r001.mzML:tailing_factor,datafile:PreIS__400_800_d161-r001.mzML:mz_range:min,datafile:PreIS__400_800_d161-r001.mzML:mz_range:max,datafile:PreIS__400_800_d161-r001.mzML:area,datafile:PreIS__400_800_d161-r001.mzML:rt_range:min,datafile:PreIS__400_800_d161-r001.mzML:rt_range:max,datafile:PreIS__400_800_d161-r001.mzML:asymmetry_factor,datafile:PreIS__400_800_d161-r001.mzML:height,datafile:PreIS__400_800_d161-r001.mzML:rt,datafile:PreIS__400_800_d161-r001.mzML:mz,datafile:PreIS__400_800_d161-r001.mzML:charge,datafile:PreIS__400_800_d161-r001.mzML:isotopes
81,1.4E3,5.4E1,1.4E3,7.15,,782.3659,782.9000,782.7425,9.9E1,7.07,7.21,0.07,DETECTED,5.4E1,1.4E3,0.83,782.3659,782.9000,9.9E1,7.07,7.21,0.72,1.4E3,7.15,782.7425,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
82,2.1E3,1.1E2,2.1E3,7.16,,576.0880,576.5261,576.5014,1.2E2,7.10,7.21,0.06,DETECTED,1.1E2,2.1E3,1.00,576.0880,576.5261,1.2E2,7.10,7.21,0.87,2.1E3,7.16,576.5014,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
83,1.1E4,5.2E1,1.1E4,7.16,1,738.4373,738.8000,738.5232,6.8E2,7.07,7.21,0.06,DETECTED,5.2E1,1.1E4,0.93,738.4373,738.8000,6.8E2,7.07,7.21,1.04,1.1E4,7.16,738.5232,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
84,1.7E3,4.8E2,1.7E3,7.20,,732.7217,732.7803,732.7704,9.6E1,7.16,7.25,0.06,DETECTED,4.8E2,1.7E3,1.17,732.7217,732.7803,9.6E1,7.16,7.25,1.33,1.7E3,7.20,732.7704,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
85,9.2E2,1.6E2,9.2E2,7.24,,768.4860,768.7594,768.6643,5.6E1,7.20,7.30,0.06,DETECTED,1.6E2,9.2E2,1.33,768.4860,768.7594,5.6E1,7.20,7.30,1.46,9.2E2,7.24,768.6643,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
86,6.1E3,6.3E1,6.1E3,7.25,1,548.2000,549.4000,548.5893,4.1E2,7.17,7.33,0.07,DETECTED,6.3E1,6.1E3,1.11,548.2000,549.4000,4.1E2,7.17,7.33,1.21,6.1E3,7.25,548.5893,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
87,1.0E4,5.9E1,1.0E4,7.26,,566.1301,566.6000,566.1663,6.2E2,7.19,7.34,0.06,DETECTED,5.9E1,1.0E4,0.93,566.1301,566.6000,6.2E2,7.19,7.34,0.88,1.0E4,7.26,566.1663,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
88,9.4E2,2.5E2,9.4E2,7.26,,567.3765,567.7156,567.7141,5.3E1,7.21,7.30,0.06,DETECTED,2.5E2,9.4E2,0.87,567.3765,567.7156,5.3E1,7.21,7.30,0.75,9.4E2,7.26,567.7141,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
89,1.2E3,2.9E2,1.2E3,7.26,,731.4000,731.8000,731.7560,7.5E1,7.23,7.32,0.07,DETECTED,2.9E2,1.2E3,1.17,731.4000,731.8000,7.5E1,7.23,7.32,1.33,1.2E3,7.26,731.7560,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
90,2.3E3,8.5E1,2.3E3,7.39,,770.4000,770.6269,770.5800,1.3E2,7.36,7.46,0.06,DETECTED,8.5E1,2.3E3,1.16,770.4000,770.6269,1.3E2,7.36,7.46,1.27,2.3E3,7.39,770.5800,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
91,3.0E3,5.1E1,3.0E3,7.41,,752.3981,752.6246,752.5866,1.7E2,7.36,7.47,0.06,DETECTED,5.1E1,3.0E3,0.88,752.3981,752.6246,1.7E2,7.36,7.47,0.73,3.0E3,7.41,752.5866,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
92,1.2E3,3.3E2,1.2E3,7.51,,783.7130,783.7230,783.7215,6.6E1,7.46,7.55,0.06,DETECTED,3.3E2,1.2E3,0.88,783.7130,783.7230,6.6E1,7.46,7.55,0.75,1.2E3,7.51,783.7215,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
93,7.3E2,8.2E1,7.3E2,7.64,,604.3627,604.5547,604.3931,7.5E1,7.59,7.78,0.13,DETECTED,8.2E1,7.3E2,1.88,604.3627,604.5547,7.5E1,7.59,7.78,2.57,7.3E2,7.64,604.3931,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
94,2.9E3,5.2E1,2.9E3,7.65,1,766.1000,766.7404,766.6118,1.9E2,7.60,7.72,0.07,DETECTED,5.2E1,2.9E3,0.99,766.1000,766.7404,1.9E2,7.60,7.72,0.93,2.9E3,7.65,766.6118,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
95,3.5E3,1.4E2,3.5E3,7.65,,784.6541,784.9272,784.7622,3.3E2,7.52,7.73,0.17,DETECTED,1.4E2,3.5E3,0.75,784.6541,784.9272,3.3E2,7.52,7.73,1.05,3.5E3,7.65,784.7622,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
96,2.3E4,2.0E2,2.3E4,7.73,1,602.1953,602.5008,602.3993,1.7E3,7.67,7.84,0.07,DETECTED,2.0E2,2.3E4,0.99,602.1953,602.5008,1.7E3,7.67,7.84,1.06,2.3E4,7.73,602.3993,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
97,3.1E4,6.8E2,3.1E4,7.73,1,619.9986,620.5968,620.4600,2.1E3,7.67,7.84,0.07,DETECTED,6.8E2,3.1E4,1.00,619.9986,620.5968,2.1E3,7.67,7.84,1.11,3.1E4,7.73,620.4600,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
98,1.4E3,3.9E2,1.4E3,7.74,,584.3671,584.5999,584.5708,1.2E2,7.67,7.81,0.10,DETECTED,3.9E2,1.4E3,0.92,584.3671,584.5999,1.2E2,7.67,7.81,0.83,1.4E3,7.74,584.5708,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
99,2.0E3,3.5E2,2.0E3,7.77,,558.1008,558.3998,558.2088,1.5E2,7.71,7.84,0.08,DETECTED,3.5E2,2.0E3,1.00,558.1008,558.3998,1.5E2,7.71,7.84,1.14,2.0E3,7.77,558.2088,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
100,6.8E4,1.1E2,6.8E4,7.77,1,593.9000,594.7698,594.5729,4.4E3,7.68,7.86,0.06,DETECTED,1.1E2,6.8E4,1.09,593.9000,594.7698,4.4E3,7.68,7.86,1.07,6.8E4,7.77,594.5729,1,3,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
101,8.8E4,2.8E2,8.8E4,7.78,1,576.3001,576.6992,576.4317,5.7E3,7.68,7.87,0.06,DETECTED,2.8E2,8.8E4,0.90,576.3001,576.6992,5.7E3,7.68,7.87,0.80,8.8E4,7.78,576.4317,1,3,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
102,2.6E3,1.0E2,2.6E3,7.78,1,785.5162,785.9000,785.6277,1.7E2,7.71,7.85,0.07,DETECTED,1.0E2,2.6E3,0.92,785.5162,785.9000,1.7E2,7.71,7.85,0.92,2.6E3,7.78,785.6277,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
103,3.5E3,3.4E2,3.5E3,7.80,,759.2000,759.7963,759.7299,2.1E2,7.73,7.84,0.06,DETECTED,3.4E2,3.5E3,0.86,759.2000,759.7963,2.1E2,7.73,7.84,0.75,3.5E3,7.80,759.7299,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
104,5.7E2,1.0E2,5.7E2,7.94,,784.9272,785.4000,785.3968,3.5E1,7.89,7.99,0.06,DETECTED,1.0E2,5.7E2,1.00,784.9272,785.4000,3.5E1,7.89,7.99,1.17,5.7E2,7.94,785.3968,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
105,6.3E2,6.2E1,6.3E2,7.97,,616.4000,616.7602,616.5390,3.9E1,7.91,8.03,0.06,DETECTED,6.2E1,6.3E2,1.29,616.4000,616.7602,3.9E1,7.91,8.03,1.36,6.3E2,7.97,616.5390,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
106,1.9E3,5.2E1,1.9E3,7.98,,634.4000,634.6980,634.6928,1.1E2,7.91,8.04,0.06,DETECTED,5.2E1,1.9E3,1.15,634.4000,634.6980,1.1E2,7.91,8.04,1.28,1.9E3,7.98,634.6928,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
107,2.8E3,4.2E2,2.8E3,7.98,,759.2196,759.9982,759.4361,1.7E2,7.93,8.02,0.06,DETECTED,4.2E2,2.8E3,0.88,759.2196,759.9982,1.7E2,7.93,8.02,0.75,2.8E3,7.98,759.4361,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
108,5.0E4,6.0E2,5.0E4,8.02,1,590.2079,590.5313,590.4376,3.7E3,7.94,8.12,0.07,DETECTED,6.0E2,5.0E4,1.14,590.2079,590.5313,3.7E3,7.94,8.12,1.30,5.0E4,8.02,590.4376,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
109,1.7E3,5.0E1,1.7E3,8.02,,620.2256,621.0000,620.2901,1.1E2,7.95,8.09,0.07,DETECTED,5.0E1,1.7E3,1.16,620.2256,621.0000,1.1E2,7.95,8.09,1.11,1.7E3,8.02,620.2901,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
110,1.2E3,3.0E2,1.2E3,8.02,,638.5987,638.6248,638.5998,6.8E1,7.98,8.07,0.06,DETECTED,3.0E2,1.2E3,1.17,638.5987,638.6248,6.8E1,7.98,8.07,1.33,1.2E3,8.02,638.5998,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
111,6.7E4,6.1E2,6.7E4,8.03,1,608.0971,608.5804,608.5406,4.3E3,7.95,8.09,0.06,DETECTED,6.1E2,6.7E4,1.04,608.0971,608.5804,4.3E3,7.95,8.09,1.00,6.7E4,8.03,608.5406,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
112,1.2E3,2.7E2,1.2E3,8.19,,785.7999,785.8954,785.8635,6.9E1,8.13,8.24,0.06,DETECTED,2.7E2,1.2E3,1.00,785.7999,785.8954,6.9E1,8.13,8.24,1.00,1.2E3,8.19,785.8635,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
113,1.3E3,5.9E1,1.3E3,8.22,,630.6000,630.7104,630.6957,7.4E1,8.17,8.28,0.07,DETECTED,5.9E1,1.3E3,0.87,630.6000,630.7104,7.4E1,8.17,8.28,0.72,1.3E3,8.22,630.6957,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
114,1.8E3,5.0E2,1.8E3,8.22,,648.5948,648.6998,648.6997,1.0E2,8.17,8.26,0.06,DETECTED,5.0E2,1.8E3,0.88,648.5948,648.6998,1.0E2,8.17,8.26,0.75,1.8E3,8.22,648.6997,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
115,2.3E3,7.9E1,2.3E3,8.25,,773.4000,773.9000,773.8735,1.4E2,8.20,8.33,0.07,DETECTED,7.9E1,2.3E3,1.18,773.4000,773.9000,1.4E2,8.20,8.33,1.47,2.3E3,8.25,773.8735,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
116,9.1E3,5.7E1,9.1E3,8.28,1,586.1000,586.6485,586.2986,6.8E2,8.19,8.37,0.07,DETECTED,5.7E1,9.1E3,1.08,586.1000,586.6485,6.8E2,8.19,8.37,1.30,9.1E3,8.28,586.2986,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
117,2.6E5,5.2E1,2.6E5,8.28,1,604.1981,604.7000,604.5219,1.8E4,8.13,8.41,0.07,DETECTED,5.2E1,2.6E5,1.04,604.1981,604.7000,1.8E4,8.13,8.41,1.11,2.6E5,8.28,604.5219,1,3,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
118,2.3E5,1.1E2,2.3E5,8.28,1,622.3783,622.6956,622.5229,1.6E4,8.17,8.41,0.06,DETECTED,1.1E2,2.3E5,1.00,622.3783,622.6956,1.6E4,8.17,8.41,0.98,2.3E5,8.28,622.5229,1,3,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
119,1.4E3,1.6E2,1.4E3,8.30,,759.5899,760.0000,759.8985,1.2E2,8.21,8.37,0.11,DETECTED,1.6E2,1.4E3,0.86,759.5899,760.0000,1.2E2,8.21,8.37,0.62,1.4E3,8.30,759.8985,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
120,1.4E3,3.5E2,1.4E3,8.34,,497.9949,497.9999,497.9999,8.2E1,8.30,8.39,0.06,DETECTED,3.5E2,1.4E3,1.17,497.9949,497.9999,8.2E1,8.30,8.39,1.33,1.4E3,8.34,497.9999,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
121,5.9E2,7.8E1,5.9E2,8.43,,773.4000,773.7597,773.6824,4.6E1,8.35,8.50,0.07,DETECTED,7.8E1,5.9E2,0.92,773.4000,773.7597,4.6E1,8.35,8.50,0.93,5.9E2,8.43,773.6824,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
122,1.0E3,5.1E1,1.0E3,8.47,,759.5899,759.8000,759.6048,5.8E1,8.41,8.52,0.06,DETECTED,5.1E1,1.0E3,0.83,759.5899,759.8000,5.8E1,8.41,8.52,1.38,1.0E3,8.47,759.6048,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
123,5.9E2,1.8E2,5.9E2,8.50,,648.4010,648.5948,648.4022,3.4E1,8.46,8.55,0.06,DETECTED,1.8E2,5.9E2,1.17,648.4010,648.5948,3.4E1,8.46,8.55,1.33,5.9E2,8.50,648.4022,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
124,3.5E3,1.0E2,3.5E3,8.52,1,618.0152,618.8496,618.3308,3.1E2,8.38,8.59,0.08,DETECTED,1.0E2,3.5E3,0.78,618.0152,618.8496,3.1E2,8.38,8.59,0.64,3.5E3,8.52,618.3308,1,2,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
125,5.6E3,5.2E1,5.6E3,8.52,,636.3000,636.6967,636.5157,5.2E2,8.39,8.61,0.10,DETECTED,5.2E1,5.6E3,0.73,636.3000,636.6967,5.2E2,8.39,8.61,0.45,5.6E3,8.52,636.5157,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
126,3.0E3,7.1E2,3.0E3,8.74,,632.7962,633.4127,633.3208,1.8E2,8.69,8.80,0.06,DETECTED,7.1E2,3.0E3,1.00,632.7962,633.4127,1.8E2,8.69,8.80,1.00,3.0E3,8.74,633.3208,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
