id,rt,area,mz_range:min,mz_range:max,intensity_range:min,intensity_range:max,charge,height,rt_range:min,rt_range:max,mz,datafile:PreIS__1100_1500_t180-r001.mzML:rt,datafile:PreIS__1100_1500_t180-r001.mzML:feature_state,datafile:PreIS__1100_1500_t180-r001.mzML:area,datafile:PreIS__1100_1500_t180-r001.mzML:mz_range:min,datafile:PreIS__1100_1500_t180-r001.mzML:mz_range:max,datafile:PreIS__1100_1500_t180-r001.mzML:intensity_range:min,datafile:PreIS__1100_1500_t180-r001.mzML:intensity_range:max,datafile:PreIS__1100_1500_t180-r001.mzML:fwhm,datafile:PreIS__1100_1500_t180-r001.mzML:charge,datafile:PreIS__1100_1500_t180-r001.mzML:rt_range:min,datafile:PreIS__1100_1500_t180-r001.mzML:rt_range:max,datafile:PreIS__1100_1500_t180-r001.mzML:height,datafile:PreIS__1100_1500_t180-r001.mzML:isotopes,datafile:PreIS__1100_1500_t180-r001.mzML:tailing_factor,datafile:PreIS__1100_1500_t180-r001.mzML:asymmetry_factor,datafile:PreIS__1100_1500_t180-r001.mzML:mz,datafile:PreIS__1100_1500_t180-r002.mzML:rt,datafile:PreIS__1100_1500_t180-r002.mzML:feature_state,datafile:PreIS__1100_1500_t180-r002.mzML:area,datafile:PreIS__1100_1500_t180-r002.mzML:mz_range:min,datafile:PreIS__1100_1500_t180-r002.mzML:mz_range:max,datafile:PreIS__1100_1500_t180-r002.mzML:intensity_range:min,datafile:PreIS__1100_1500_t180-r002.mzML:intensity_range:max,datafile:PreIS__1100_1500_t180-r002.mzML:fwhm,datafile:PreIS__1100_1500_t180-r002.mzML:charge,datafile:PreIS__1100_1500_t180-r002.mzML:rt_range:min,datafile:PreIS__1100_1500_t180-r002.mzML:rt_range:max,datafile:PreIS__1100_1500_t180-r002.mzML:height,datafile:PreIS__1100_1500_t180-r002.mzML:isotopes,datafile:PreIS__1100_1500_t180-r002.mzML:tailing_factor,datafile:PreIS__1100_1500_t180-r002.mzML:asymmetry_factor,datafile:PreIS__1100_1500_t180-r002.mzML:mz,datafile:PreIS__750_1150_t180-r002.mzML:rt,datafile:PreIS__750_1150_t180-r002.mzML:feature_state,datafile:PreIS__750_1150_t180-r002.mzML:area,datafile:PreIS__750_1150_t180-r002.mzML:mz_range:min,datafile:PreIS__750_1150_t180-r002.mzML:mz_range:max,datafile:PreIS__750_1150_t180-r002.mzML:intensity_range:min,datafile:PreIS__750_1150_t180-r002.mzML:intensity_range:max,datafile:PreIS__750_1150_t180-r002.mzML:fwhm,datafile:PreIS__750_1150_t180-r002.mzML:charge,datafile:PreIS__750_1150_t180-r002.mzML:rt_range:min,datafile:PreIS__750_1150_t180-r002.mzML:rt_range:max,datafile:PreIS__750_1150_t180-r002.mzML:height,datafile:PreIS__750_1150_t180-r002.mzML:isotopes,datafile:PreIS__750_1150_t180-r002.mzML:tailing_factor,datafile:PreIS__750_1150_t180-r002.mzML:asymmetry_factor,datafile:PreIS__750_1150_t180-r002.mzML:mz,datafile:PreIS__400_800_t180-r002.mzML:rt,datafile:PreIS__400_800_t180-r002.mzML:feature_state,datafile:PreIS__400_800_t180-r002.mzML:area,datafile:PreIS__400_800_t180-r002.mzML:mz_range:min,datafile:PreIS__400_800_t180-r002.mzML:mz_range:max,datafile:PreIS__400_800_t180-r002.mzML:intensity_range:min,datafile:PreIS__400_800_t180-r002.mzML:intensity_range:max,datafile:PreIS__400_800_t180-r002.mzML:fwhm,datafile:PreIS__400_800_t180-r002.mzML:charge,datafile:PreIS__400_800_t180-r002.mzML:rt_range:min,datafile:PreIS__400_800_t180-r002.mzML:rt_range:max,datafile:PreIS__400_800_t180-r002.mzML:height,datafile:PreIS__400_800_t180-r002.mzML:isotopes,datafile:PreIS__400_800_t180-r002.mzML:tailing_factor,datafile:PreIS__400_800_t180-r002.mzML:asymmetry_factor,datafile:PreIS__400_800_t180-r002.mzML:mz,datafile:PreIS__750_1150_t180-r001.mzML:rt,datafile:PreIS__750_1150_t180-r001.mzML:feature_state,datafile:PreIS__750_1150_t180-r001.mzML:area,datafile:PreIS__750_1150_t180-r001.mzML:mz_range:min,datafile:PreIS__750_1150_t180-r001.mzML:mz_range:max,datafile:PreIS__750_1150_t180-r001.mzML:intensity_range:min,datafile:PreIS__750_1150_t180-r001.mzML:intensity_range:max,datafile:PreIS__750_1150_t180-r001.mzML:fwhm,datafile:PreIS__750_1150_t180-r001.mzML:charge,datafile:PreIS__750_1150_t180-r001.mzML:rt_range:min,datafile:PreIS__750_1150_t180-r001.mzML:rt_range:max,datafile:PreIS__750_1150_t180-r001.mzML:height,datafile:PreIS__750_1150_t180-r001.mzML:isotopes,datafile:PreIS__750_1150_t180-r001.mzML:tailing_factor,datafile:PreIS__750_1150_t180-r001.mzML:asymmetry_factor,datafile:PreIS__750_1150_t180-r001.mzML:mz,datafile:PreIS__400_800_t180-r001.mzML:rt,datafile:PreIS__400_800_t180-r001.mzML:feature_state,datafile:PreIS__400_800_t180-r001.mzML:area,datafile:PreIS__400_800_t180-r001.mzML:mz_range:min,datafile:PreIS__400_800_t180-r001.mzML:mz_range:max,datafile:PreIS__400_800_t180-r001.mzML:intensity_range:min,datafile:PreIS__400_800_t180-r001.mzML:intensity_range:max,datafile:PreIS__400_800_t180-r001.mzML:fwhm,datafile:PreIS__400_800_t180-r001.mzML:charge,datafile:PreIS__400_800_t180-r001.mzML:rt_range:min,datafile:PreIS__400_800_t180-r001.mzML:rt_range:max,datafile:PreIS__400_800_t180-r001.mzML:height,datafile:PreIS__400_800_t180-r001.mzML:isotopes,datafile:PreIS__400_800_t180-r001.mzML:tailing_factor,datafile:PreIS__400_800_t180-r001.mzML:asymmetry_factor,datafile:PreIS__400_800_t180-r001.mzML:mz
192,7.06,3.8E2,1073.6786,1074.2564,7.2E1,4.2E3,,4.2E3,6.97,7.13,1074.1629,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.06,DETECTED,3.8E2,1073.6786,1074.2564,7.2E1,4.2E3,0.10,,6.97,7.13,4.2E3,,0.93,0.89,1074.1629,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
193,7.06,4.1E1,1135.7040,1136.1000,6.3E1,6.4E2,,6.4E2,7.02,7.15,1135.7415,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.06,DETECTED,4.1E1,1135.7040,1136.1000,6.3E1,6.4E2,0.06,,7.02,7.15,6.4E2,,1.63,1.99,1135.7415,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
194,7.11,2.5E2,1134.5953,1135.1718,1.7E2,2.7E3,,2.7E3,7.02,7.22,1134.8753,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.11,DETECTED,2.5E2,1134.5953,1135.1718,1.7E2,2.7E3,0.08,,7.02,7.22,2.7E3,,1.07,1.30,1134.8753,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
195,7.13,6.3E1,756.7996,756.8571,3.2E2,1.1E3,,1.1E3,7.08,7.17,756.7999,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.13,DETECTED,6.3E1,756.7996,756.8571,3.2E2,1.1E3,0.06,,7.08,7.17,1.1E3,,0.88,0.75,756.7999,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
196,7.14,1.7E2,986.3000,986.8000,5.1E1,2.1E3,1,2.1E3,7.05,7.23,986.5848,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.14,DETECTED,1.7E2,986.3000,986.8000,5.1E1,2.1E3,0.09,1,7.05,7.23,2.1E3,2,1.39,1.66,986.5848,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
197,7.15,5.0E2,764.2347,764.4356,3.3E2,6.9E3,1,6.9E3,7.09,7.24,764.3317,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.15,DETECTED,5.0E2,764.2347,764.4356,3.3E2,6.9E3,0.07,1,7.09,7.24,6.9E3,2,1.10,1.31,764.3317,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
198,7.15,4.9E1,1012.4965,1012.6993,2.4E2,6.4E2,1,6.4E2,7.10,7.22,1012.5860,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.15,DETECTED,4.9E1,1012.4965,1012.6993,2.4E2,6.4E2,0.09,1,7.10,7.22,6.4E2,2,1.12,1.25,1012.5860,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
199,7.15,4.9E1,1012.4965,1012.6993,2.4E2,6.4E2,1,6.4E2,7.10,7.22,1012.5860,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.15,DETECTED,4.9E1,1012.4965,1012.6993,2.4E2,6.4E2,0.09,1,7.10,7.22,6.4E2,2,1.12,1.25,1012.5860,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
200,7.15,8.8E1,1108.9582,1109.0462,2.3E2,1.4E3,1,1.4E3,7.09,7.21,1109.0241,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.15,DETECTED,8.8E1,1108.9582,1109.0462,2.3E2,1.4E3,0.06,1,7.09,7.21,1.4E3,2,0.90,0.76,1109.0241,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
201,7.15,8.8E1,1108.9582,1109.0462,2.3E2,1.4E3,1,1.4E3,7.09,7.21,1109.0241,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.15,DETECTED,8.8E1,1108.9582,1109.0462,2.3E2,1.4E3,0.06,1,7.09,7.21,1.4E3,2,0.90,0.76,1109.0241,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
202,7.18,9.4E1,1111.9995,1112.1996,4.4E2,1.7E3,,1.7E3,7.13,7.22,1112.1992,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.18,DETECTED,9.4E1,1111.9995,1112.1996,4.4E2,1.7E3,0.06,,7.13,7.22,1.7E3,,0.88,0.75,1112.1992,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
203,7.18,3.3E3,1147.1445,1148.0000,2.5E2,5.3E4,1,5.3E4,7.10,7.26,1147.5387,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.18,DETECTED,3.3E3,1147.1445,1148.0000,2.5E2,5.3E4,0.06,1,7.10,7.26,5.3E4,2,0.99,0.99,1147.5387,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
204,7.27,1.3E2,844.3020,844.8000,1.1E2,2.0E3,,2.0E3,7.21,7.34,844.4510,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.27,DETECTED,1.3E2,844.3020,844.8000,1.1E2,2.0E3,0.06,,7.21,7.34,2.0E3,,1.12,1.14,844.4510,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
205,7.28,2.4E2,974.1000,974.7754,2.2E2,4.3E3,,4.3E3,7.23,7.36,974.2402,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.28,DETECTED,2.4E2,974.1000,974.7754,2.2E2,4.3E3,0.05,,7.23,7.36,4.3E3,,1.13,1.46,974.2402,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
206,7.30,5.6E1,818.4310,818.5008,1.5E2,9.3E2,,9.3E2,7.24,7.35,818.5005,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.30,DETECTED,5.6E1,818.4310,818.5008,1.5E2,9.3E2,0.06,,7.24,7.35,9.3E2,,1.00,1.24,818.5005,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
207,7.30,9.5E2,972.4000,973.0000,5.1E1,1.4E4,1,1.4E4,7.21,7.41,972.8399,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.30,DETECTED,9.5E2,972.4000,973.0000,5.1E1,1.4E4,0.07,1,7.21,7.41,1.4E4,2,0.97,0.84,972.8399,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
208,7.31,1.6E2,766.3421,766.7000,5.0E1,2.5E3,,2.5E3,7.24,7.36,766.4682,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.31,DETECTED,1.6E2,766.3421,766.7000,5.0E1,2.5E3,0.07,,7.24,7.36,2.5E3,,0.79,0.66,766.4682,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
209,7.32,3.2E2,946.5014,946.8064,5.5E1,4.9E3,,4.9E3,7.26,7.40,946.7244,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.32,DETECTED,3.2E2,946.5014,946.8064,5.5E1,4.9E3,0.06,,7.26,7.40,4.9E3,,1.06,1.07,946.7244,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
210,7.32,6.3E1,1014.9000,1015.1003,5.3E1,1.1E3,,1.1E3,7.26,7.37,1015.0954,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.32,DETECTED,6.3E1,1014.9000,1015.1003,5.3E1,1.1E3,0.06,,7.26,7.37,1.1E3,,1.17,1.39,1015.0954,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
211,7.34,9.2E1,929.3000,929.3611,4.8E2,1.6E3,,1.6E3,7.30,7.39,929.3001,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.34,DETECTED,9.2E1,929.3000,929.3611,4.8E2,1.6E3,0.06,,7.30,7.39,1.6E3,,1.17,1.33,929.3001,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
212,7.34,2.3E2,962.4000,962.9247,2.1E2,3.0E3,1,3.0E3,7.26,7.40,962.6458,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.34,DETECTED,2.3E2,962.4000,962.9247,2.1E2,3.0E3,0.08,1,7.26,7.40,3.0E3,2,0.91,0.80,962.6458,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
213,7.34,2.3E2,962.4000,962.9247,2.1E2,3.0E3,1,3.0E3,7.26,7.40,962.6458,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.34,DETECTED,2.3E2,962.4000,962.9247,2.1E2,3.0E3,0.08,1,7.26,7.40,3.0E3,2,0.91,0.80,962.6458,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
214,7.34,1.0E3,988.7040,988.8835,5.5E1,1.1E4,1,1.1E4,7.23,7.45,988.7582,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.34,DETECTED,1.0E3,988.7040,988.8835,5.5E1,1.1E4,0.08,1,7.23,7.45,1.1E4,2,1.20,1.37,988.7582,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
215,7.36,2.4E2,982.8997,984.0028,2.1E2,2.6E3,,2.6E3,7.27,7.48,983.3254,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.36,DETECTED,2.4E2,982.8997,984.0028,2.1E2,2.6E3,0.22,,7.27,7.48,2.6E3,,1.22,0.71,983.3254,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
216,7.36,2.0E2,984.6888,985.3945,5.0E1,2.6E3,,2.6E3,7.28,7.44,985.0491,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.36,DETECTED,2.0E2,984.6888,985.3945,5.0E1,2.6E3,0.08,,7.28,7.44,2.6E3,,0.98,0.86,985.0491,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
217,7.39,5.1E2,828.7292,828.9947,5.2E1,8.0E3,1,8.0E3,7.31,7.47,828.7681,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.39,DETECTED,5.1E2,828.7292,828.9947,5.2E1,8.0E3,0.06,1,7.31,7.47,8.0E3,2,1.24,1.33,828.7681,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
218,7.40,9.5E1,923.9999,924.2000,5.8E2,1.7E3,,1.7E3,7.35,7.44,924.0000,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.40,DETECTED,9.5E1,923.9999,924.2000,5.8E2,1.7E3,0.06,,7.35,7.44,1.7E3,,0.88,0.75,924.0000,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
219,7.41,1.4E2,802.6507,803.4868,3.8E2,2.3E3,,2.3E3,7.37,7.48,802.8996,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.41,DETECTED,1.4E2,802.6507,803.4868,3.8E2,2.3E3,0.06,,7.37,7.48,2.3E3,,1.33,1.39,802.8996,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
220,7.49,1.8E2,764.2993,764.4356,5.0E2,2.7E3,1,2.7E3,7.44,7.56,764.3447,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.49,DETECTED,1.8E2,764.2993,764.4356,5.0E2,2.7E3,0.07,1,7.44,7.56,2.7E3,2,1.12,1.52,764.3447,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
221,7.49,1.6E2,1014.6972,1014.9131,5.0E1,2.4E3,,2.4E3,7.44,7.57,1014.8509,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.49,DETECTED,1.6E2,1014.6972,1014.9131,5.0E1,2.4E3,0.07,,7.44,7.57,2.4E3,,1.25,1.73,1014.8509,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
222,7.50,7.5E1,990.4000,990.8923,7.2E1,1.3E3,,1.3E3,7.45,7.54,990.8843,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.50,DETECTED,7.5E1,990.4000,990.8923,7.2E1,1.3E3,0.06,,7.45,7.54,1.3E3,,0.88,0.75,990.8843,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
223,7.52,5.7E1,1016.2990,1016.9987,5.0E1,8.6E2,,8.6E2,7.43,7.56,1016.4238,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.52,DETECTED,5.7E1,1016.2990,1016.9987,5.0E1,8.6E2,0.07,,7.43,7.56,8.6E2,,0.56,0.62,1016.4238,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
224,7.57,8.8E1,960.8613,960.8998,4.6E2,1.5E3,,1.5E3,7.53,7.62,960.8991,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.57,DETECTED,8.8E1,960.8613,960.8998,4.6E2,1.5E3,0.06,,7.53,7.62,1.5E3,,1.17,1.33,960.8991,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
225,7.58,4.7E1,750.4001,750.5428,9.4E1,7.9E2,,7.9E2,7.53,7.63,750.4229,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.58,DETECTED,4.7E1,750.4001,750.5428,9.4E1,7.9E2,0.06,,7.53,7.63,7.9E2,,1.00,1.30,750.4229,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
226,7.58,1.5E2,964.8887,965.0629,1.1E2,2.6E3,,2.6E3,7.53,7.62,964.9988,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.58,DETECTED,1.5E2,964.8887,965.0629,1.1E2,2.6E3,0.06,,7.53,7.62,2.6E3,,0.88,0.75,964.9988,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
227,7.60,7.5E2,792.5999,792.8489,8.9E2,1.2E4,1,1.2E4,7.53,7.66,792.7356,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.60,DETECTED,7.5E2,792.5999,792.8489,8.9E2,1.2E4,0.06,1,7.53,7.66,1.2E4,2,1.02,0.90,792.7356,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
228,7.60,1.7E3,810.6504,810.8088,9.9E1,2.7E4,1,2.7E4,7.50,7.67,810.6867,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.60,DETECTED,1.7E3,810.6504,810.8088,9.9E1,2.7E4,0.06,1,7.50,7.67,2.7E4,2,0.91,0.89,810.6867,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
229,7.61,8.5E2,759.1992,759.3848,3.3E2,1.3E4,1,1.3E4,7.53,7.67,759.3758,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.61,DETECTED,8.5E2,759.1992,759.3848,3.3E2,1.3E4,0.06,1,7.53,7.67,1.3E4,3,0.97,0.86,759.3758,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
230,7.63,3.9E2,766.4754,766.7998,6.5E2,6.0E3,1,6.0E3,7.56,7.69,766.5926,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.63,DETECTED,3.9E2,766.4754,766.7998,6.5E2,6.0E3,0.06,1,7.56,7.69,6.0E3,3,0.83,0.63,766.5926,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
231,7.63,1.4E3,784.1991,784.7000,1.6E2,2.2E4,1,2.2E4,7.53,7.71,784.6424,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.63,DETECTED,1.4E3,784.1991,784.7000,1.6E2,2.2E4,0.07,1,7.53,7.71,2.2E4,2,1.02,1.04,784.6424,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
232,7.66,7.1E1,816.3324,816.7210,5.1E1,1.2E3,,1.2E3,7.62,7.73,816.7190,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.66,DETECTED,7.1E1,816.3324,816.7210,5.1E1,1.2E3,0.06,,7.62,7.73,1.2E3,,1.16,1.25,816.7190,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
233,7.67,2.0E2,1016.7000,1016.8996,5.3E1,2.1E3,1,2.1E3,7.62,7.84,1016.8254,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.67,DETECTED,2.0E2,1016.7000,1016.8996,5.3E1,2.1E3,0.10,1,7.62,7.84,2.1E3,2,1.86,3.29,1016.8254,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
234,7.67,3.0E2,1056.7027,1057.9011,5.1E1,4.1E3,1,4.1E3,7.60,7.78,1057.4467,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.67,DETECTED,3.0E2,1056.7027,1057.9011,5.1E1,4.1E3,0.07,1,7.60,7.78,4.1E3,4,0.93,0.67,1057.4467,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
235,7.67,5.8E1,1136.8966,1136.9279,1.1E2,9.8E2,1,9.8E2,7.63,7.73,1136.8996,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.67,DETECTED,5.8E1,1136.8966,1136.9279,1.1E2,9.8E2,0.06,1,7.63,7.73,9.8E2,2,1.17,1.33,1136.8996,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
236,7.67,5.8E1,1136.8966,1136.9279,1.1E2,9.8E2,1,9.8E2,7.63,7.73,1136.8996,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,7.67,DETECTED,5.8E1,1136.8966,1136.9279,1.1E2,9.8E2,0.06,1,7.63,7.73,9.8E2,2,1.17,1.33,1136.8996,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
