Compound Name,Precursor Ion,Product Ion,Ret Time (min),Delta Ret Time,Collision Energy,Polarity
"[""Cer 19:1;O2/23:2"", ""Cer 19:2;O/24:0""]",646.6308744687499,278.284774,8.87,1.0,35,Positive
"[""Cer 18:1;O/25:1""]",646.6502039999999,266.284774,8.89,1.0,35,Positive
Cer 20:2;O/23:0,646.6502039999999,292.300424,8.934999999999999,1.0,35,Positive
"[""Cer 18:0;O3/23:3""]",648.593084,282.279689,8.532499999999999,1.6550000000000011,35,Positive
"[""Cer 18:1;O2/24:1"", ""Cer 18:1;O2/23:2;O""]",648.6165521372549,264.26912400000003,8.201249999999998,1.0024999999999986,35,Positive
"[""Cer 17:1;O2/25:1"", ""Cer 17:1;O2/24:2;O""]",648.6165521372549,250.253474,8.29,1.0,35,Positive
"[""Cer 18:2;O2/24:0"", ""Cer 18:2;O2/23:1;O""]",648.6165521372549,262.25347400000004,8.3,1.0,35,Positive
"[""Cer 18:0;O3/23:2""]",650.6087339999999,282.279689,9.04,1.6199999999999974,35,Positive
"[""Cer 19:1;O2/23:0"", ""Cer 19:1;O2/22:1;O""]",650.6322021372548,278.284774,8.6425,1.0,35,Positive
"[""Cer 20:1;O2/22:0"", ""Cer 20:1;O2/21:1;O""]",650.6429787058822,292.300424,8.7025,1.0,35,Positive
"[""Cer 18:1;O/24:0;O"", ""Cer 18:1;O/23:1;O2""]",650.643097611111,266.28477399999997,8.23,1.0,35,Positive
"[""Cer 18:1;O2/24:0"", ""Cer 18:1;O2/23:1;O""]",650.6440488529411,264.26912400000003,8.723333333333333,1.0066666666666695,35,Positive
"[""Cer 18:0;O2/24:1""]",650.6451189999999,284.295339,8.4925,1.1550000000000011,35,Positive
"[""Cer 18:1;O2/23:0;O""]",652.624384,264.26912400000003,8.245000000000001,1.0,35,Positive
Cer 18:1;O/23:0;O2,652.624384,266.284774,8.745000000000001,1.0,35,Positive
"[""Cer 18:0;O2/24:0"", ""Cer 18:0;O2/23:1;O""]",652.6596988529412,284.295339,8.84,1.2149999999999999,35,Positive
Cer 16:0;O3/25:0,654.6400339999999,254.24838900000003,5.3149999999999995,1.0,35,Positive
"[""Cer 18:0;O3/23:0""]",654.6400339999999,282.279689,7.992500000000001,1.6349999999999998,35,Positive
Cer 20:2;O/24:0,660.665854,292.300424,9.15,1.0,35,Positive
"[""Cer 18:1;O2/25:1"", ""Cer 18:1;O2/24:2;O""]",662.6322021372548,264.26912400000003,8.428333333333335,1.0033333333333312,35,Positive
"[""Cer 18:2;O2/25:0"", ""Cer 18:2;O2/24:1;O""]",662.6322021372548,262.25347400000004,8.54,1.0,35,Positive
"[""Cer 19:1;O2/24:1"", ""Cer 19:1;O2/23:2;O""]",662.6429787058822,278.284774,8.355,1.0,35,Positive
Cer 18:2;O2/24:0;O,664.624384,262.25347400000004,8.055,1.0,35,Positive
"[""Cer 18:0;O3/24:2""]",664.624384,282.279689,8.9575,1.0,35,Positive
"[""Cer 19:1;O2/24:0"", ""Cer 19:1;O2/23:1;O""]",664.647852137255,278.284774,8.87,1.0,35,Positive
"[""Cer 20:1;O2/23:0"", ""Cer 20:1;O2/22:1;O""]",664.647852137255,292.300424,8.93,1.0,35,Positive
"[""Cer 18:1;O2/25:0"", ""Cer 18:1;O2/24:1;O""]",664.647852137255,264.26912400000003,8.951875,1.0037500000000001,35,Positive
"[""Cer 18:1;O/25:0;O"", ""Cer 18:1;O/24:1;O2""]",664.6587476111112,266.28477399999997,8.885,1.0,35,Positive
"[""HexCer 18:1;O2/14:3""]",666.4944939999999,264.26912400000003,8.475000000000001,1.0,45,Positive
"[""Cer 18:0;O3/24:1""]",666.6400339999999,282.279689,8.228750000000002,1.4924999999999997,35,Positive
"[""Cer 18:1;O2/24:0;O""]",666.6400339999999,264.26912400000003,8.475000000000001,1.0,35,Positive
"[""Cer 18:0;O3/24:0""]",668.655684,282.279689,8.5375,1.0,35,Positive
"[""HexCer 16:1;O2/16:0""]",672.5414440000001,236.23782400000005,5.3149999999999995,1.0,45,Positive
"[""Cer 16:1;O2/28:3""]",672.629469,236.23782400000005,5.3149999999999995,1.0,35,Positive
Cer 19:2;O/26:0,674.681504,278.284774,9.345,1.0,35,Positive
Cer 18:0;O3/25:3,676.624384,282.279689,5.0649999999999995,1.0,35,Positive
"[""Cer 18:1;O2/26:1"", ""Cer 18:1;O2/25:2;O""]",676.647852137255,264.26912400000003,8.6675,1.0,35,Positive
"[""Cer 20:1;O2/24:1"", ""Cer 20:1;O2/23:2;O""]",676.6586287058824,292.300424,8.6475,1.0,35,Positive
"[""Cer 18:0;O3/25:2""]",678.6400339999999,282.279689,9.1725,1.0,35,Positive
"[""Cer 20:1;O2/24:0"", ""Cer 20:1;O2/23:1;O""]",678.6635021372548,292.300424,9.1525,1.0,35,Positive
"[""Cer 18:1;O2/26:0"", ""Cer 18:1;O2/25:1;O""]",678.6635021372548,264.26912400000003,9.170625000000001,1.0012499999999989,35,Positive
"[""Cer 19:1;O2/25:0"", ""Cer 19:1;O2/24:1;O""]",678.6742787058823,278.284774,9.09,1.0,35,Positive
Cer 18:1;O3/25:0,680.655684,280.264039,5.425000000000001,1.0,35,Positive
"[""HexCer 18:1;O2/15:2""]",682.5257939999999,264.26912400000003,4.9325,3.125,45,Positive
"[""Cer 19:1;O2/26:0"", ""Cer 19:1;O2/25:1;O""]",692.6899287058823,278.284774,9.342500000000001,1.0,35,Positive
"[""Cer 20:1;O2/25:0"", ""Cer 20:1;O2/24:1;O""]",692.6899287058823,292.300424,9.370000000000001,1.0,35,Positive
Cer 18:0;O2/27:0,694.707719,284.295339,0.685,1.0,35,Positive
"[""HexCer 18:2;O2/15:1;O"", ""HexCer 18:2;O2/16:0""]",698.533333492424,262.25347400000004,5.432500000000001,1.0,45,Positive
"[""HexCer 18:1;O2/16:1"", ""HexCer 18:1;O2/15:2;O""]",698.55527475,264.26912400000003,4.094374999999999,1.0112500000000004,45,Positive
"[""HexCer 18:0;O3/15:2""]",700.5363590000001,282.279689,5.999375000000001,1.0112499999999995,45,Positive
"[""HexCer 18:1;O2/15:1;O"", ""HexCer 18:1;O2/16:0""]",700.5479360454545,264.26912400000003,5.113125,2.7562500000000014,45,Positive
"[""Cer 18:1;O2/28:3""]",700.660769,264.26912400000003,4.9350000000000005,3.125,35,Positive
Cer 18:0;O3/27:3,704.655684,282.279689,5.62,1.0,35,Positive
"[""HexCer 18:1;O2/17:2""]",710.5570939999999,264.26912400000003,4.62375,1.0,45,Positive
Cer 16:0;O3/29:0,710.702634,254.24838900000003,4.63,1.0,35,Positive
"[""HexCer 18:1;O2/16:0;O""]",716.5676589999999,264.26912400000003,4.9506250000000005,2.7062500000000003,45,Positive
HexCer 18:0;O3/16:1,716.5676589999999,282.279689,5.8025,1.0,45,Positive
"[""Cer 18:0;O3/28:1""]",722.702634,282.279689,7.51,1.3500000000000005,35,Positive
"[""HexCer 18:2;O2/18:0"", ""HexCer 18:2;O2/17:1;O""]",726.58657475,262.25347400000004,6.0725,1.0,45,Positive
"[""HexCer 18:0;O3/18:3""]",740.5676589999999,282.279689,7.50875,1.352500000000001,45,Positive
"[""HexCer 18:1;O2/20:0"", ""HexCer 18:1;O2/19:1;O""]",756.622554121212,264.26912400000003,7.121666666666666,1.0083333333333329,45,Positive
"[""HexCer 16:1;O2/22:0"", ""HexCer 16:1;O2/21:1;O""]",756.622554121212,236.23782400000005,7.156875,1.0037500000000001,45,Positive
"[""SHexCer 18:1;O2/15:2""]",762.482611,264.26912400000003,4.2316666666666665,1.0,50,Positive
"[""HexCer 18:1;O2/21:2""]",766.6196939999999,264.26912400000003,7.628229166666666,1.000208333333335,45,Positive
"[""HexCer 17:1;O2/22:0"", ""HexCer 17:1;O2/21:1;O""]",770.6382041212122,250.25347400000007,7.383333333333333,1.0,45,Positive
"[""HexCer 18:1;O2/20:0;O""]",772.6302589999999,264.26912400000003,6.988333333333333,1.0,45,Positive
SHexCer 18:1;O2/16:3,774.482611,264.26912400000003,8.9575,1.0,50,Positive
SHexCer 18:2;O2/16:0,778.513911,262.25347400000004,5.456250000000001,1.0,50,Positive
"[""SHexCer 18:1;O2/16:0""]",780.5295610000001,264.26912400000003,4.233888888888889,1.0,50,Positive
"[""HexCer 18:1;O2/22:2""]",780.6353439999999,264.26912400000003,6.048263888888888,4.633194444444445,45,Positive
"[""HexCer 18:2;O2/22:0"", ""HexCer 18:2;O2/21:1;O""]",782.6382041212122,262.25347400000004,7.194687500000001,1.0031250000000007,45,Positive
"[""HexCer 16:1;O2/24:1"", ""HexCer 16:1;O2/23:2;O""]",782.64917475,236.23782400000005,7.123333333333334,1.0,45,Positive
HexCer 18:1;O2/22:1,782.650994,264.26912400000003,7.486666666666666,1.0,45,Positive
"[""HexCer 18:0;O3/21:2""]",784.6302589999999,282.279689,7.6309375,1.0006249999999994,45,Positive
"[""HexCer 18:1;O2/22:0"", ""HexCer 18:1;O2/21:1;O""]",784.6648247500001,264.26912400000003,7.624047619047619,1.0047619047619065,45,Positive
"[""HexCer 16:1;O2/24:0"", ""HexCer 16:1;O2/23:1;O""]",784.6648247500001,236.23782400000005,7.652916666666666,1.0008333333333326,45,Positive
HexCer 18:1;O/21:0;O2,786.645909,266.284774,7.628333333333333,1.0,45,Positive
"[""HexCer 18:1;O2/23:3""]",792.6353439999999,264.26912400000003,7.5896875,1.0027083333333344,45,Positive
"[""HexCer 18:1;O2/23:2""]",794.650994,264.26912400000003,8.099791666666665,1.0020833333333332,45,Positive
"[""HexCer 18:2;O2/23:0"", ""HexCer 18:2;O2/22:1;O""]",796.6538541212121,262.25347400000004,7.437083333333334,1.0008333333333335,45,Positive
HexCer 18:2;O2/22:0;O,798.645909,262.25347400000004,7.053333333333332,1.0,45,Positive
HexCer 18:0;O3/22:2,798.645909,282.279689,7.8725000000000005,1.0,45,Positive
"[""HexCer 18:1;O2/22:1;O"", ""HexCer 18:1;O2/23:0""]",798.6585334924242,264.26912400000003,7.86375,1.004999999999999,45,Positive
"[""HexCer 17:1;O2/24:0"", ""HexCer 17:1;O2/23:1;O""]",798.6804747500001,250.253474,7.8831250000000015,1.0037500000000001,45,Positive
"[""HexCer 18:1;O2/22:0;O""]",800.661559,264.26912400000003,7.34125,4.467499999999999,45,Positive
"[""HexCer 18:1;O2/24:2""]",808.666644,264.26912400000003,7.130833333333333,1.0,45,Positive
"[""HexCer 18:2;O2/24:1""]",808.666644,262.25347400000004,7.152083333333334,1.0091666666666672,45,Positive
"[""HexCer 18:0;O3/23:3""]",810.645909,282.279689,7.5929166666666665,1.0058333333333334,45,Positive
"[""HexCer 18:2;O2/24:0"", ""HexCer 18:2;O2/23:1;O""]",810.6695041212121,262.25347400000004,7.6775,1.004999999999999,45,Positive
"[""HexCer 18:1;O2/24:1"", ""HexCer 18:1;O2/23:2;O""]",810.6804747500001,264.26912400000003,7.588541666666667,1.003750000000002,45,Positive
"[""HexCer 18:0;O3/23:2""]",812.661559,282.279689,8.10625,1.0058333333333334,45,Positive
