Compound Name,Precursor Ion,Product Ion,Ret Time (min),Delta Ret Time,Collision Energy,Polarity
"[""Cer 19:1;O2/24:1"", ""Cer 19:1;O2/23:2;O""]",662.6429787,278.284774,8.355,1,35,Positive
Cer 18:2;O2/24:0;O,664.624384,262.253474,8.055,1,35,Positive
"[""Cer 18:0;O3/24:2""]",664.624384,282.279689,8.9575,1,35,Positive
"[""Cer 19:1;O2/24:0"", ""Cer 19:1;O2/23:1;O""]",664.6478521,278.284774,8.87,1,35,Positive
"[""Cer 20:1;O2/23:0"", ""Cer 20:1;O2/22:1;O""]",664.6478521,292.300424,8.93,1,35,Positive
"[""Cer 18:1;O2/25:0"", ""Cer 18:1;O2/24:1;O""]",664.6478521,264.269124,8.951875,1.00375,35,Positive
"[""Cer 18:1;O/25:0;O"", ""Cer 18:1;O/24:1;O2""]",664.6587476,266.284774,8.885,1,35,Positive
"[""Cer 18:0;O3/24:1""]",666.640034,282.279689,8.22875,1.4925,35,Positive
"[""Cer 18:1;O2/24:0;O""]",666.640034,264.269124,8.475,1,35,Positive
"[""Cer 18:0;O3/24:0""]",668.655684,282.279689,8.5375,1,35,Positive
"[""HexCer 16:1;O2/16:0""]",672.541444,236.237824,5.315,1,45,Positive
Cer 19:2;O/26:0,674.681504,278.284774,9.345,1,35,Positive
Cer 18:0;O3/25:3,676.624384,282.279689,5.065,1,35,Positive
"[""Cer 18:1;O2/26:1"", ""Cer 18:1;O2/25:2;O""]",676.6478521,264.269124,8.6675,1,35,Positive
"[""Cer 20:1;O2/24:1"", ""Cer 20:1;O2/23:2;O""]",676.6586287,292.300424,8.6475,1,35,Positive
"[""Cer 18:0;O3/25:2""]",678.640034,282.279689,9.1725,1,35,Positive
"[""Cer 20:1;O2/24:0"", ""Cer 20:1;O2/23:1;O""]",678.6635021,292.300424,9.1525,1,35,Positive
"[""Cer 18:1;O2/26:0"", ""Cer 18:1;O2/25:1;O""]",678.6635021,264.269124,9.170625,1.00125,35,Positive
"[""Cer 19:1;O2/25:0"", ""Cer 19:1;O2/24:1;O""]",678.6742787,278.284774,9.09,1,35,Positive
